agent,domain,version,prompt_category,link,params_tying,learning_rate,lr_subdir,spec_hash,short_spec_hash,group_hash,short_group_hash,loocv_r2,cv_r2,r2_task,rmse_task,mae,aic,bic,loocv_rmse,loocv_mae,b,m1,m2,pC1,pC2
gemini-2.5-pro,all,1,numeric,noisy_or,3,,lr0p1,d90bb94283201d50e86d1ece9843f0a136922098a1604c0e0014bf5a21f8cd21,d90bb9428320,26fa44997e23ecf19853a3ff3f6c78a9ddf3b43a91d763d7c3888e4724a564f5,26fa44997e23,0.9996012029837188,0.9996012029837188,0.9997513198974153,0.006276814250621725,0.008890567347407341,-1668.374041313575,-1657.9446506577804,0.007948674411204355,,0.002271169563755393,0.995750904083252,0.995750904083252,0.4938913881778717,0.4938913881778717
gemini-2.5-flash,all,1,numeric,noisy_or,3,,lr0p1,160adc999f64725cf8ca18394ba878ed2da94e532ad62165f7e748be5e43f89d,160adc999f64,ebfd4fb687dd218b04bd58f8ea4b47011f17b7441427367e89967bd0db772939,ebfd4fb687dd,0.9978630745130096,0.9978630745130096,0.9987682984331563,0.013724501940293727,0.011878681369125843,-1279.7314016211276,-1269.8817904349137,0.018077506878095367,,0.00717589957639575,0.9870228171348572,0.9870228171348572,0.4996069073677063,0.4996069073677063
gpt-5-mini-v_low-r_high,all,1,numeric,noisy_or,4,,lr0p1,7c9641bcab18e2ec3d8d56e88835675cf4c1f2e8721e3c76f3396195c92d458b,7c9641bcab18,d7330f86edea565c59ec79d1b56aecce49dc7f822375f4f5ce6e9d2c8a2d8003,d7330f86edea,0.996015770464271,0.996015770464271,0.9855589825213745,0.04490656079072861,0.015212742611765862,-267.6786962574294,-261.1283516185239,0.024670305816900974,,0.0004903135122731328,0.9659215211868286,0.9985334873199463,0.5008975863456726,0.5008975863456726
gpt-5-v_low-r_medium,all,1,numeric,noisy_or,3,,lr0p1,cae5b92a17e17e4532a74aa9467c6350515c45a2cd2a517b0b7b68b55c67ea29,cae5b92a17e1,33fbc8cb53c47a364c72ecb1fc98dd444ae9fca0e5858721bb96fe417c0d31d1,33fbc8cb53c4,0.9807433581952422,0.9807433581952422,0.9917463288495687,0.03438850183337754,0.043333154171705246,-1289.4309798800284,-1278.9890631100025,0.052526679940073255,,0.033650584518909454,0.975006639957428,0.975006639957428,0.46963071823120117,0.46963071823120117
gpt-5-mini-v_low-r_medium,all,1,numeric,noisy_or,3,,lr0p1,3ec7edf38be415fe5612f40abb0a5d491d20e08fbcb0af628c17445fe15b73ac,3ec7edf38be4,0607999b4d07a0aa95330e1616243a800049e1e510445e70d9485d93284c74a0,0607999b4d07,0.9740782214417371,0.9740782214417371,0.9889546889091654,0.03740613985702959,0.055604469031095505,-1216.2322942799033,-1205.7903775098773,0.05730418171068075,,0.05621175095438957,0.9319239258766174,0.9319239258766174,0.4650297164916992,0.4650297164916992
gpt-4o,all,1,numeric,noisy_or,3,,lr0p1,2faee195dd86c7cacbdf0d12f13632a3c9eb876fdfe5c492c174c5a5bc361776,2faee195dd86,883898815294f7da7cdcf2d38671161f0ea365436945fe07563585b7fe07dcb5,883898815294,0.9733784562592627,0.9733784562592627,0.9856966148448023,0.045154332380600265,0.10292986035346985,-805.4950030461064,-795.0530862760804,0.06160225736243279,,0.01207217387855053,0.9379380345344543,0.9379380345344543,0.419643759727478,0.419643759727478
gpt-5-nano-v_low-r_medium,all,1,numeric,noisy_or,3,,lr0p1,20b053f41624a401a6284d4a6687c7bfdaa088c0156a83e1d2553c0f7f57b644,20b053f41624,3b45bce3d5bf523421d4b504a7f21ec486c9e328e816c7962311be964a8d6f83,3b45bce3d5bf,0.9714310237480702,0.9714310237480702,0.9856484298947857,0.04212759127994648,0.0745297521352768,-1103.765464159689,-1093.323547389663,0.05943800975265393,,0.054730672389268875,0.9130439758300781,0.9130439758300781,0.45023348927497864,0.45023348927497864
gpt-5-v_low-r_low,all,1,numeric,noisy_or,3,,lr0p1,90c39be19a97a0fa01b1f36844293f186a5a2bc643b1de7ed9049766c2d3ab47,90c39be19a97,ad1cad70a5c0295a5b8916ba2d3906dde15f31abae34e74555ae3a1c5096563e,ad1cad70a5c0,0.9700379869448053,0.9700379869448053,0.9863828169238,0.043697815475669234,0.060769837349653244,-1209.191504476875,-1198.749587706849,0.06481888896671066,,0.03424864634871483,0.9641210436820984,0.9641210436820984,0.44063594937324524,0.44063594937324524
o1-mini,all,1,numeric,noisy_or,3,,lr0p1,5e0f2b1803c74d2f7912da5af598481322da19ab9095d07b78ba45c7903d8172,5e0f2b1803c7,d35e3d3f70cf35980b0adfbfa96c9c7628ae98935f2f934c6008bcaab313f791,d35e3d3f70cf,0.9612341228725338,0.9612341228725338,0.9837491275976378,0.041517952828003434,0.085478276014328,-999.8162784459098,-989.3743616758838,0.06412426473106911,,0.04883634299039841,0.8301036953926086,0.8301036953926086,0.4139593839645386,0.4139593839645386
gpt-5-mini-v_low-r_low,all,1,numeric,noisy_or,3,,lr0p1,1823aff22a133f479fb8608897a7fe631fbeffdb94b2aa1ddde5983498452f1a,1823aff22a13,fdf67209ae842c3dc61c771e36a2d225a8ab61ac6cd1972b9e8d3ca819d4c3de,fdf67209ae84,0.9577235965192714,0.9577235965192714,0.9799955337549096,0.04891678310683312,0.06696202605962753,-1186.2864364849463,-1175.8445197149204,0.07111208658396845,,0.06636302918195724,0.9107998609542847,0.9107998609542847,0.43989890813827515,0.43989890813827515
