agent,domain,version,prompt_category,link,params_tying,learning_rate,lr_subdir,spec_hash,short_spec_hash,group_hash,short_group_hash,loocv_r2,cv_r2,r2_task,rmse_task,mae,aic,bic,loocv_rmse,loocv_mae,b,m1,m2,pC1,pC2
gemini-2.5-pro,all,2,numeric,noisy_or,3,,lr0p1,f88fcc5bcd42ea5880a57ba913142ba97fce2cc8f7fbcf5d069046525b369af5,f88fcc5bcd42,95dbe3a9ae5887e731975abe0b61c474e50fdfc171aa5aebfa76013bdc4a0d66,95dbe3a9ae58,0.998301482692325,0.998301482692325,0.9989486395549645,0.012928531646022104,0.023988036438822746,-1411.3142850537608,-1400.8723682837349,0.016103214935779837,,0.002075816970318556,0.97989422082901,0.97989422082901,0.48409906029701233,0.48409906029701233
gemini-2.5-flash,all,2,numeric,noisy_or,3,,lr0p1,160adc999f64725cf8ca18394ba878ed2da94e532ad62165f7e748be5e43f89d,160adc999f64,426016a4524cd06b04083eff835d0c4f66eba056520de45ba350553593f1df5f,426016a4524c,0.9902583010810166,0.9902583010810166,0.995449624527574,0.02485164669826781,0.04229918494820595,-1171.23659850522,-1160.9223605784503,0.03636209569803055,,0.013082095421850681,0.9382010698318481,0.9382010698318481,0.4898291230201721,0.4898291230201721
gpt-5-nano-v_low-r_high,all,2,numeric,noisy_or,3,,lr0p1,44d384933fe289638e4d84b64921d922dd889eed2db9af6336c83747b3029ca0,44d384933fe2,c1bb8104e0a9e5dbbbceff161df2f6169cb9ba1ad11e4e858fb6a308a29a87e5,c1bb8104e0a9,0.9802467067337082,0.9802467067337082,0.9877266558856486,0.03830065784729204,0.08522934466600418,-988.6265819708063,-978.1846652007804,0.04858973535873115,,0.09896422177553177,0.9265545606613159,0.9265545606613159,0.46799159049987793,0.46799159049987793
gpt-4.1,all,2,numeric,noisy_or,3,,lr0p1,27ee5e23f738cbb15b295e56fba1d417765adbab0d6664d7fe1cdb809d1e9888,27ee5e23f738,5faa46fe9775c6844ecd85dee16af1feddb352808a1fad761a55ad249c028f6e,5faa46fe9775,0.9759234511977217,0.9759234511977217,0.9838206941119505,0.04932922683166994,0.042007867246866226,-1146.8905946275795,-1136.4486778575535,0.06017574595801027,,0.022052671760320663,0.9830378293991089,0.9830378293991089,0.4697062075138092,0.4697062075138092
gpt-4o,all,2,numeric,noisy_or,4,,lr0p1,ee0601c9bcb5453070c32d86ae09f934cc92c45d5cb94b9015f119ebc0395088,ee0601c9bcb5,6d8a2a141a3180f5095c3fe646cc2c79b35edef755aed01ef510e043f9d252b2,6d8a2a141a31,0.9662962069356419,0.9662962069356419,0.982175294727681,0.05038807503674585,0.07436655461788177,-991.9483052744254,-978.0257495810574,0.07084053525668503,,0.014456632547080517,0.9468438029289246,0.9999451637268066,0.41289350390434265,0.41289350390434265
o3-mini,all,2,numeric,noisy_or,3,,lr0p1,b45421ddb2bb239c3167e227f6dca49019f2de0e080f26a499a9a24787f25986,b45421ddb2bb,655d2b894d28ce3a53bde107ab47c7db22af6de21258acfe3e0f4a98f8ae291c,655d2b894d28,0.9623386706934915,0.9623386706934915,0.9788128880915281,0.05678552355586056,0.05283266305923462,-1090.6300878628485,-1080.1881710928226,0.07570936027269858,,0.01999432034790516,0.9916179776191711,0.9916179776191711,0.4520983099937439,0.4520983099937439
claude-3-7-sonnet-20250219,all,2,numeric,noisy_or,3,,lr0p1,d0e3320dbce965ce25cd0c985aa5f529844f7d16699832e8dfb74d266579c6e3,d0e3320dbce9,c9bf851bcaadc141cba08c023699456d980018e4b65f8c725179d90110a9cc63,c9bf851bcaad,0.9595146887825488,0.9595146887825488,0.9750073632279275,0.058075513132016934,0.07375822961330414,-1023.4246635541961,-1012.9827467841701,0.07391554068479336,,0.019561143592000008,0.919590950012207,0.919590950012207,0.46494558453559875,0.46494558453559875
gpt-5-nano-v_low-r_medium,all,2,numeric,noisy_or,3,,lr0p1,20b053f41624a401a6284d4a6687c7bfdaa088c0156a83e1d2553c0f7f57b644,20b053f41624,7de3fcfa9cf1b4306a2e22310576d64d2592a704d12c1068e9a8bed5f57e91b3,7de3fcfa9cf1,0.955565764520964,0.955565764520964,0.9756781488560864,0.04919838261239221,0.09855835884809494,-1033.705474236625,-1023.263557466599,0.06649842644497467,,0.0954546257853508,0.8386572599411011,0.8386572599411011,0.4297332465648651,0.4297332465648651
gpt-5-nano-v_low-r_low,all,2,numeric,noisy_or,4,,lr0p1,0cd929feb80bd0cc2eac8863e875a1de409479ef67ec61732a6329c6af58bedd,0cd929feb80b,5d1827f7692539514b9d07e90696613ecf09b94ef3aa2d8c46223c834fab34a7,5d1827f76925,0.9505114514669813,0.9505114514669813,0.9794220785018798,0.03627232642622361,0.08283474296331406,-1030.1666485361432,-1016.2440928427752,0.05625058148799033,,0.18708619475364685,0.6416677832603455,0.750106930732727,0.4070028066635132,0.4070028066635132
gpt-5-v_low-r_low,all,2,numeric,noisy_or,3,,lr0p1,90c39be19a97a0fa01b1f36844293f186a5a2bc643b1de7ed9049766c2d3ab47,90c39be19a97,e0de35b18b5684dd7c012746e93a2ed7d7dafa04d0ab8accde9ebe88ec14c4d2,e0de35b18b56,0.9473940179409497,0.9473940179409497,0.9753901577200551,0.052620283044725415,0.07601292431354523,-1154.5446061496436,-1144.1026893796177,0.07693364885151807,,0.04543882980942726,0.86307293176651,0.86307293176651,0.43547993898391724,0.43547993898391724
