id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_alnum_10;a;ppp;claude-opus-4-1-20250805;0.0
2;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_alnum_10;a;ppp;claude-opus-4-1-20250805;0.0
3;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_alnum_10;b;ppp;claude-opus-4-1-20250805;0.0
4;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_alnum_10;b;ppp;claude-opus-4-1-20250805;0.0
5;<response><likelihood>75</likelihood><confidence>80</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_alnum_10;c;ppp;claude-opus-4-1-20250805;0.0
6;<response><likelihood>90</likelihood><confidence>85</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_alnum_10;c;ppp;claude-opus-4-1-20250805;0.0
7;<response><likelihood>50</likelihood><confidence>85</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_alnum_10;d;ppp;claude-opus-4-1-20250805;0.0
8;<response><likelihood>50</likelihood><confidence>85</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_alnum_10;d;ppp;claude-opus-4-1-20250805;0.0
9;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_alnum_10;e;ppp;claude-opus-4-1-20250805;0.0
10;<response><likelihood>50</likelihood><confidence>85</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_alnum_10;e;ppp;claude-opus-4-1-20250805;0.0
11;<response><likelihood>0</likelihood><confidence>95</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_alnum_10;f;ppp;claude-opus-4-1-20250805;0.0
12;<response><likelihood>0</likelihood><confidence>95</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_alnum_10;f;ppp;claude-opus-4-1-20250805;0.0
13;<response><likelihood>10</likelihood><confidence>85</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_alnum_10;g;ppp;claude-opus-4-1-20250805;0.0
14;<response><likelihood>25</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_alnum_10;g;ppp;claude-opus-4-1-20250805;0.0
15;<response><likelihood>10</likelihood><confidence>85</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_alnum_10;h;ppp;claude-opus-4-1-20250805;0.0
16;<response><likelihood>0</likelihood><confidence>95</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_alnum_10;h;ppp;claude-opus-4-1-20250805;0.0
17;<response><likelihood>5</likelihood><confidence>85</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_alnum_10;i;ppp;claude-opus-4-1-20250805;0.0
18;<response><likelihood>75</likelihood><confidence>80</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_alnum_10;j;ppp;claude-opus-4-1-20250805;0.0
