Experiment,prompt_category,version,LLM-agent,temperature,verbosity,reasoning_effort,API-error
rw17_indep_causes,CoT,2,claude-3-opus-20240229,0.0,,,TRUE
rw17_indep_causes,numeric,2,claude-opus-4-1-20250805,0.0,,,
rw17_indep_causes,CoT,2,claude-opus-4-1-20250805,0.0,,,TRUE
rw17_indep_causes,numeric-conf,2,claude-opus-4-1-20250805,0.0,,,TRUE
rw17_indep_causes,numeric,2,gemini-2.5-pro,0.7,,,
rw17_indep_causes,numeric,2,gemini-2.5-pro,0.0,,,
rw17_indep_causes,numeric-conf,2,gemini-2.5-pro,0.0,,,
rw17_indep_causes,numeric,2,gpt-4.1,0.0,,,
rw17_indep_causes,CoT,2,gpt-4.1,0.0,,,
rw17_indep_causes,numeric-conf,2,gpt-4.1,0.0,,,
rw17_indep_causes,numeric-conf,2,claude-3-sonnet-20240229,0.0,,,
rw17_indep_causes,numeric,2,gpt-4o,0.7,,,
rw17_indep_causes,CoT,2,gpt-4o,0.0,,,
rw17_indep_causes,numeric-conf,2,gpt-4o,0.0,,,
rw17_indep_causes,,2,gpt-4o,0.0,,,
rw17_indep_causes,numeric,2,o3-mini,0.0,,,
rw17_indep_causes,CoT,2,o3-mini,0.0,,,
rw17_indep_causes,numeric-conf,2,o3-mini,0.0,,,
rw17_indep_causes,numeric,2,o3,0.0,,,
rw17_indep_causes,numeric-conf,2,o3,0.0,,,
rw17_indep_causes,CoT,2,o3,0.0,,,
rw17_indep_causes,numeric-conf,2,gpt-4.1-mini,0.0,,,
rw17_indep_causes,CoT,2,gpt-4.1-mini,0.0,,,
rw17_indep_causes,numeric,2,gpt-4.1-mini,0.0,,,
rw17_indep_causes,numeric,2,gemini-2.5-flash-lite,0.0,,,
rw17_indep_causes,numeric,2,claude-3-5-haiku-20241022,0.0,,,
rw17_indep_causes,numeric-conf,2,claude-3-7-sonnet-20250219,0.0,,,
rw17_indep_causes,numeric,2,claude-3-7-sonnet-20250219,0.0,,,
rw17_indep_causes,CoT,2,claude-3-7-sonnet-20250219,0.0,,,TRUE
rw17_indep_causes,numeric,2,gemini-1.5-pro,0.7,,,
rw17_indep_causes,CoT,2,gemini-1.5-pro,0.7,,,
rw17_indep_causes,numeric,2,gemini-1.5-pro,0.0,,,
rw17_indep_causes,numeric-conf,2,gemini-1.5-pro,0.0,,,
rw17_indep_causes,CoT,2,claude-sonnet-4-20250514,0.0,,,TRUE
rw17_indep_causes,numeric,2,claude-sonnet-4-20250514,0.0,,,
rw17_indep_causes,numeric-conf,2,claude-sonnet-4-20250514,0.0,,,
rw17_indep_causes,numeric,2,gemini-2.5-flash,0.0,,,
rw17_indep_causes,CoT,2,claude-3-haiku-20240307,0.0,,,
rw17_indep_causes,numeric-conf,2,claude-3-haiku-20240307,0.0,,,
rw17_indep_causes,numeric,2,claude-3-haiku-20240307,0.0,,,
rw17_indep_causes,CoT,2,gpt-5-mini,,low,low,
rw17_indep_causes,numeric-conf,2,gpt-5-mini,,low,medium,
rw17_indep_causes,numeric-conf,2,gpt-5-mini,,low,low,
rw17_indep_causes,numeric-conf,2,gpt-5-mini,,low,minimal,
rw17_indep_causes,numeric,2,gpt-5-mini,,low,minimal,
rw17_indep_causes,numeric,2,gpt-5-mini,,low,medium,
rw17_indep_causes,numeric-conf,2,gpt-5-mini,,low,high,
rw17_indep_causes,CoT,2,gpt-5-mini,,low,medium,
rw17_indep_causes,CoT,2,gpt-5-mini,,low,minimal,
rw17_indep_causes,CoT,2,gpt-5-mini,,low,high,TRUE
rw17_indep_causes,numeric,2,gpt-5-mini,,low,low,
rw17_indep_causes,numeric,2,gpt-5-mini,,low,high,
rw17_indep_causes,numeric,2,gpt-5-nano,,low,medium,
rw17_indep_causes,numeric,2,gpt-5-nano,,low,high,
rw17_indep_causes,numeric,2,gpt-5-nano,,low,low,
rw17_indep_causes,numeric-conf,2,gpt-5-nano,,low,medium,
