agent,domain,version,prompt_category,link,params_tying,learning_rate,lr_subdir,spec_hash,short_spec_hash,group_hash,short_group_hash,loocv_r2,cv_r2,r2_task,rmse_task,mae,aic,bic,loocv_rmse,loocv_mae,b,m1,m2,pC1,pC2
gemini-2.5-pro,all,1,numeric,noisy_or,3,,lr0p1,e1691d103e442e666210a320deddc906491cae6c8e22b4c2f322b687dbcf8164,e1691d103e44,26fa44997e23ecf19853a3ff3f6c78a9ddf3b43a91d763d7c3888e4724a564f5,26fa44997e23,0.9995912722189825,0.9995912722189825,0.9997513698055012,0.006276184366083001,0.008892799727618694,-1668.3741727962122,-1657.9447821404176,0.00804703400585119,,0.0022413553670048714,0.9957284331321716,0.9957284331321716,0.4938908815383911,0.4938908815383911
gemini-2.5-flash,all,1,numeric,noisy_or,3,,lr0p1,32df9697eda9bb0805ecc40a5c7aa2660ee5fafa62e419bb5a7ee7c3f1ed70d5,32df9697eda9,ebfd4fb687dd218b04bd58f8ea4b47011f17b7441427367e89967bd0db772939,ebfd4fb687dd,0.9978537278322444,0.9978537278322444,0.9987679174629673,0.013726624297685983,0.011862147599458694,-1279.7331115507989,-1269.883500364585,0.0181169982715694,,0.007078234571963549,0.9870041012763977,0.9870041012763977,0.49965178966522217,0.49965178966522217
gpt-5-v_low-r_medium,all,1,numeric,noisy_or,3,,lr0p1,468a7aaf1372068de5eb95e2d228fad7da0116e587b0eb8dd111678df317ec71,468a7aaf1372,33fbc8cb53c47a364c72ecb1fc98dd444ae9fca0e5858721bb96fe417c0d31d1,33fbc8cb53c4,0.980747922078503,0.980747922078503,0.9917393859118376,0.034402962491754216,0.043377287685871124,-1289.4322964435605,-1278.9903796735346,0.052520455078974196,,0.033425964415073395,0.974780261516571,0.974780261516571,0.46957406401634216,0.46957406401634216
gpt-5-mini-v_low-r_high,all,1,numeric,noisy_or,3,,lr0p1,21d833a24c72809c8c887826d8c4384adcaf12f0a9bc14cc0b41d5441aced400,21d833a24c72,efd1e9bf0f99eaf5b0dc9b3ea4cab0395bd3b0d8a75d4b2c05e42ee9000b885f,efd1e9bf0f99,0.9807364151365332,0.9807364151365332,0.9913670661893125,0.0347208304672983,0.047454945743083954,-1197.1287940452485,-1186.699403389454,0.05186560568412227,,0.031040554866194725,0.9623079895973206,0.9623079895973206,0.4715408384799957,0.4715408384799957
gpt-5-mini-v_low-r_medium,all,1,numeric,noisy_or,3,,lr0p1,131900447ab03f98fb2805c92f192d6674bd95ebaaeab389baf3a80a79662625,131900447ab0,0607999b4d07a0aa95330e1616243a800049e1e510445e70d9485d93284c74a0,0607999b4d07,0.9740828816504833,0.9740828816504833,0.9889539320297079,0.037407421462120144,0.05560474470257759,-1216.2323330988029,-1205.790416328777,0.05729903041576097,,0.056195203214883804,0.9318917393684387,0.9318917393684387,0.46503162384033203,0.46503162384033203
gpt-4o,all,1,numeric,noisy_or,3,,lr0p1,e46cef96e340dc536a8c4836824b138210f796d2dde560e44689c7fd117c63bc,e46cef96e340,883898815294f7da7cdcf2d38671161f0ea365436945fe07563585b7fe07dcb5,883898815294,0.9733688628103201,0.9733688628103201,0.9856963150343894,0.045154805613613125,0.10293911397457123,-805.4950310907087,-795.0531143206828,0.06161335598399046,,0.012110736221075058,0.937917947769165,0.937917947769165,0.4196614623069763,0.4196614623069763
gpt-5-nano-v_low-r_medium,all,1,numeric,noisy_or,3,,lr0p1,cbd28ffed3969439a903c2ea0ebc9fbbc6b0918060347c270e9dfe5dd512e31a,cbd28ffed396,3b45bce3d5bf523421d4b504a7f21ec486c9e328e816c7962311be964a8d6f83,3b45bce3d5bf,0.9714196052717772,0.9714196052717772,0.9856482729450529,0.04212782163439803,0.07453098148107529,-1103.765464159689,-1093.323547389663,0.05944988668688167,,0.0547390840947628,0.9130463600158691,0.9130463600158691,0.45022884011268616,0.45022884011268616
gpt-5-v_low-r_low,all,1,numeric,noisy_or,3,,lr0p1,e11c3f1229b1c7786638711dfb686453af6da423dded3cffe24ec49235278d82,e11c3f1229b1,ad1cad70a5c0295a5b8916ba2d3906dde15f31abae34e74555ae3a1c5096563e,ad1cad70a5c0,0.9700491269938748,0.9700491269938748,0.9863829933741216,0.04369753235842961,0.06076783314347267,-1209.1914856285641,-1198.7495688585382,0.06480683782826124,,0.0342600978910923,0.9641200304031372,0.9641200304031372,0.44065389037132263,0.44065389037132263
o1-mini,all,1,numeric,noisy_or,3,,lr0p1,3730850b943f41ad4e531c4f5dbfc1b57558827aafa3d05bbac879078b3bab39,3730850b943f,d35e3d3f70cf35980b0adfbfa96c9c7628ae98935f2f934c6008bcaab313f791,d35e3d3f70cf,0.9612315438507583,0.9612315438507583,0.9837489724493352,0.04151815101504134,0.08547844737768173,-999.8162942011618,-989.3743774311358,0.06412639772968622,,0.04882953315973282,0.8300986289978027,0.8300986289978027,0.4139648973941803,0.4139648973941803
gpt-5-mini-v_low-r_low,all,1,numeric,noisy_or,3,,lr0p1,3a6ad11af3c7b35243a34ad8aedc8b7df500730d9d77ae9ffbb51cd394f57f9a,3a6ad11af3c7,fdf67209ae842c3dc61c771e36a2d225a8ab61ac6cd1972b9e8d3ca819d4c3de,fdf67209ae84,0.9577192089470467,0.9577192089470467,0.9799973153036916,0.04891460485387005,0.06696407496929169,-1186.2864536175894,-1175.8445368475634,0.07111577660127537,,0.06642650067806244,0.9108163714408875,0.9108163714408875,0.43990305066108704,0.43990305066108704
gpt-5-nano-v_low-r_low,all,1,numeric,noisy_or,3,,lr0p1,4dee9293d85ce8bf2750847510250e5d9e82283264e2cd73136384470c6a3d2d,4dee9293d85c,ad1c17fbf0c59ef4986cec312e870c53805c97c567bd646c4faf8ae788b8e8d8,ad1c17fbf0c5,0.9545344383393439,0.9545344383393439,0.9782910220601307,0.03690337105214512,0.10248149186372757,-919.3001123214314,-908.8581955514054,0.05340570242404303,,0.1711820811033249,0.668904185295105,0.668904185295105,0.3919108211994171,0.3919108211994171
o3,all,1,numeric,noisy_or,3,,lr0p1,56652336e4bcb8e6279b1243a3fd21c4fab0f1d0ec1bdabde15bbcb06c826170,56652336e4bc,145af5ece453b1fb1f15874d211906cdb55718f1349ffe11ceef1aaa81206962,145af5ece453,0.9455106920941535,0.9455106920941535,0.976419032206192,0.04668576451693541,0.06700687110424042,-1175.775289759337,-1165.333372989311,0.07096746764472743,,0.09994886815547943,0.821860671043396,0.821860671043396,0.45585256814956665,0.45585256814956665
o1,all,1,numeric,noisy_or,3,,lr0p1,4d0c6ef7fe510d0904fc99b6f2627958cbc287fd89da770c41c0fd2162f6f02d,4d0c6ef7fe51,c6f936c2d83e70887b50346088231f98451fd904b5e08bd29c3fe0d245b81b28,c6f936c2d83e,0.9427275263039212,0.9427275263039212,0.9763530732402014,0.05628573155685353,0.06627906858921051,-1185.207316715229,-1174.765399945203,0.08759593096858966,,0.06751547753810883,0.9661743640899658,0.9661743640899658,0.4364853799343109,0.4364853799343109
