id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;Message(id='msg_01KHHgnq23sLfRZAy4rW2S6T', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=1069, output_tokens=3, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;CoT;unspecified;collider;abs_all_10_overloaded_de;a;ppp;claude-opus-4-20250514;0.0
2;<response>;N/A;N/A;CoT;unspecified;collider;abs_all_10_overloaded_de;a;ppp;claude-opus-4-20250514;0.0
3;Message(id='msg_01Xz555VgvdoSZJdaQHzABHs', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=1059, output_tokens=3, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;CoT;unspecified;collider;abs_all_10_overloaded_de;b;ppp;claude-opus-4-20250514;0.0
4;Message(id='msg_011wzgAW3awC57A9CBgXofTc', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=1057, output_tokens=3, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;CoT;unspecified;collider;abs_all_10_overloaded_de;b;ppp;claude-opus-4-20250514;0.0
5;Message(id='msg_01UW9X9iTuyEwJgWfNBRmpDg', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=1069, output_tokens=3, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;CoT;unspecified;collider;abs_all_10_overloaded_de;c;ppp;claude-opus-4-20250514;0.0
6;<response>;N/A;N/A;CoT;unspecified;collider;abs_all_10_overloaded_de;c;ppp;claude-opus-4-20250514;0.0
7;Message(id='msg_01Y8FbCjPTHy8kHzKiYq5X54', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=1058, output_tokens=3, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;CoT;unspecified;collider;abs_all_10_overloaded_de;d;ppp;claude-opus-4-20250514;0.0
8;Message(id='msg_01KQ27C8wPStbVWMtfHwFaDJ', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=1058, output_tokens=3, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;CoT;unspecified;collider;abs_all_10_overloaded_de;d;ppp;claude-opus-4-20250514;0.0
9;Message(id='msg_01FcWiHhDMLoeEsjRxs3Tm6c', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=1058, output_tokens=3, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;CoT;unspecified;collider;abs_all_10_overloaded_de;e;ppp;claude-opus-4-20250514;0.0
10;Message(id='msg_015aj7serHVSxGirqqaDKYzi', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=1058, output_tokens=3, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;CoT;unspecified;collider;abs_all_10_overloaded_de;e;ppp;claude-opus-4-20250514;0.0
