id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;ppp;claude-opus-4-1-20250805;0.0
2;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;a;ppp;claude-opus-4-1-20250805;0.0
3;Message(id='msg_01KVJisgpQdDgzx1QBxbryxS', content=[], model='claude-opus-4-1-20250805', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=303, output_tokens=1, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;ppp;claude-opus-4-1-20250805;0.0
4;Message(id='msg_017fmxh5Z6b8V3kMBowfbBdp', content=[], model='claude-opus-4-1-20250805', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=302, output_tokens=1, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric;unspecified;collider;abs_alnum_10;b;ppp;claude-opus-4-1-20250805;0.0
5;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;ppp;claude-opus-4-1-20250805;0.0
6;100;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;c;ppp;claude-opus-4-1-20250805;0.0
7;Message(id='msg_01R7Sxu272FmDR8y9mmHMjWn', content=[], model='claude-opus-4-1-20250805', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=301, output_tokens=1, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;ppp;claude-opus-4-1-20250805;0.0
8;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;d;ppp;claude-opus-4-1-20250805;0.0
9;Message(id='msg_01PxNcX2CKFzfT9KGd4mAvPp', content=[], model='claude-opus-4-1-20250805', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=301, output_tokens=1, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;ppp;claude-opus-4-1-20250805;0.0
10;50;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;e;ppp;claude-opus-4-1-20250805;0.0
11;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;ppp;claude-opus-4-1-20250805;0.0
12;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;f;ppp;claude-opus-4-1-20250805;0.0
13;Message(id='msg_01GSJHQ46o8JLipXTCfi8bYn', content=[], model='claude-opus-4-1-20250805', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=303, output_tokens=1, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;ppp;claude-opus-4-1-20250805;0.0
14;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;g;ppp;claude-opus-4-1-20250805;0.0
15;Message(id='msg_019tA3hFSkXHkzk6rotGnDix', content=[], model='claude-opus-4-1-20250805', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=314, output_tokens=1, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;ppp;claude-opus-4-1-20250805;0.0
16;0;N/A;N/A;numeric;unspecified;collider;abs_alnum_10;h;ppp;claude-opus-4-1-20250805;0.0
