id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;<response><likelihood>45</likelihood><confidence>35</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;a;ppp;gpt-5;0.0
2;<response><likelihood>45</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;a;ppp;gpt-5;0.0
3;<response><likelihood>60</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;b;ppp;gpt-5;0.0
4;<response><likelihood>60</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;b;ppp;gpt-5;0.0
5;<response><likelihood>75</likelihood><confidence>65</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;c;ppp;gpt-5;0.0
6;<response><likelihood>65</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;c;ppp;gpt-5;0.0
7;<response><likelihood>50</likelihood><confidence>35</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;d;ppp;gpt-5;0.0
8;<response><likelihood>50</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;d;ppp;gpt-5;0.0
9;<response><likelihood>50</likelihood><confidence>25</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;e;ppp;gpt-5;0.0
10;<response><likelihood>50</likelihood><confidence>35</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;e;ppp;gpt-5;0.0
11;<response><likelihood>20</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;f;ppp;gpt-5;0.0
12;<response><likelihood>25</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;f;ppp;gpt-5;0.0
13;<response><likelihood>20</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;g;ppp;gpt-5;0.0
14;<response><likelihood>20</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;g;ppp;gpt-5;0.0
15;<response><likelihood>5</likelihood><confidence>80</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;h;ppp;gpt-5;0.0
16;<response><likelihood>15</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;h;ppp;gpt-5;0.0
17;<response><likelihood>25</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;i;ppp;gpt-5;0.0
18;<response><likelihood>70</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;j;ppp;gpt-5;0.0
19;<response><likelihood>70</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;j;ppp;gpt-5;0.0
20;<response><likelihood>90</likelihood><confidence>85</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;k;ppp;gpt-5;0.0
61;<response><likelihood>40</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;a;pmm;gpt-5;0.0
62;<response><likelihood>30</likelihood><confidence>35</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;a;pmm;gpt-5;0.0
63;<response><likelihood>50</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;b;pmm;gpt-5;0.0
64;<response><likelihood>40</likelihood><confidence>35</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;b;pmm;gpt-5;0.0
65;<response><likelihood>65</likelihood><confidence>45</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;c;pmm;gpt-5;0.0
66;<response><likelihood>60</likelihood><confidence>35</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;c;pmm;gpt-5;0.0
67;<response><likelihood>50</likelihood><confidence>25</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;d;pmm;gpt-5;0.0
68;<response><likelihood>50</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;d;pmm;gpt-5;0.0
69;<response><likelihood>50</likelihood><confidence>25</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;e;pmm;gpt-5;0.0
70;<response><likelihood>50</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;e;pmm;gpt-5;0.0
71;<response><likelihood>25</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;f;pmm;gpt-5;0.0
72;<response><likelihood>20</likelihood><confidence>45</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;f;pmm;gpt-5;0.0
73;<response><likelihood>25</likelihood><confidence>55</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;g;pmm;gpt-5;0.0
74;<response><likelihood>0</likelihood><confidence>85</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;g;pmm;gpt-5;0.0
75;<response><likelihood>20</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;h;pmm;gpt-5;0.0
76;<response><likelihood>10</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;h;pmm;gpt-5;0.0
77;<response><likelihood>20</likelihood><confidence>75</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;i;pmm;gpt-5;0.0
78;<response><likelihood>70</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;j;pmm;gpt-5;0.0
79;<response><likelihood>75</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;j;pmm;gpt-5;0.0
80;<response><likelihood>93</likelihood><confidence>85</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;k;pmm;gpt-5;0.0
101;<response><likelihood>30</likelihood><confidence>55</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;a;mpm;gpt-5;0.0
102;<response><likelihood>35</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;a;mpm;gpt-5;0.0
103;<response><likelihood>50</likelihood><confidence>35</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;b;mpm;gpt-5;0.0
104;<response><likelihood>50</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;b;mpm;gpt-5;0.0
105;<response><likelihood>80</likelihood><confidence>45</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;c;mpm;gpt-5;0.0
106;<response><likelihood>85</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;c;mpm;gpt-5;0.0
107;<response><likelihood>50</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;d;mpm;gpt-5;0.0
108;<response><likelihood>50</likelihood><confidence>25</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;d;mpm;gpt-5;0.0
109;<response><likelihood>50</likelihood><confidence>25</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;e;mpm;gpt-5;0.0
110;<response><likelihood>50</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;e;mpm;gpt-5;0.0
111;<response><likelihood>20</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;f;mpm;gpt-5;0.0
112;<response><likelihood>15</likelihood><confidence>55</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;f;mpm;gpt-5;0.0
113;<response><likelihood>20</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;g;mpm;gpt-5;0.0
114;<response><likelihood>20</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;g;mpm;gpt-5;0.0
115;<response><likelihood>8</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;h;mpm;gpt-5;0.0
116;<response><likelihood>10</likelihood><confidence>75</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;h;mpm;gpt-5;0.0
117;<response><likelihood>15</likelihood><confidence>80</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;i;mpm;gpt-5;0.0
118;<response><likelihood>75</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;j;mpm;gpt-5;0.0
119;<response><likelihood>75</likelihood><confidence>65</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;j;mpm;gpt-5;0.0
120;<response><likelihood>90</likelihood><confidence>85</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;k;mpm;gpt-5;0.0
121;<response><likelihood>40</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;a;mmp;gpt-5;0.0
122;<response><likelihood>30</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;a;mmp;gpt-5;0.0
123;<response><likelihood>50</likelihood><confidence>45</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;b;mmp;gpt-5;0.0
124;<response><likelihood>50</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;b;mmp;gpt-5;0.0
125;<response><likelihood>85</likelihood><confidence>75</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;c;mmp;gpt-5;0.0
126;<response><likelihood>70</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;c;mmp;gpt-5;0.0
127;<response><likelihood>50</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;d;mmp;gpt-5;0.0
128;<response><likelihood>50</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;d;mmp;gpt-5;0.0
129;<response><likelihood>50</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;e;mmp;gpt-5;0.0
130;<response><likelihood>50</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;e;mmp;gpt-5;0.0
131;<response><likelihood>5</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;f;mmp;gpt-5;0.0
132;<response><likelihood>20</likelihood><confidence>55</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;f;mmp;gpt-5;0.0
133;<response><likelihood>5</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;g;mmp;gpt-5;0.0
134;<response><likelihood>10</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;g;mmp;gpt-5;0.0
135;<response><likelihood>5</likelihood><confidence>85</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;h;mmp;gpt-5;0.0
136;<response><likelihood>5</likelihood><confidence>85</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;h;mmp;gpt-5;0.0
137;<response><likelihood>15</likelihood><confidence>80</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;i;mmp;gpt-5;0.0
138;<response><likelihood>70</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;j;mmp;gpt-5;0.0
139;<response><likelihood>75</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;j;mmp;gpt-5;0.0
140;<response><likelihood>95</likelihood><confidence>90</confidence></response>;low;low;numeric-conf;overloaded;collider;econ_ovl_de=soc;k;mmp;gpt-5;0.0
161;<response><likelihood>50</likelihood><confidence>25</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;a;ppp;gpt-5;0.0
162;<response><likelihood>35</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;a;ppp;gpt-5;0.0
163;<response><likelihood>67</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;b;ppp;gpt-5;0.0
164;<response><likelihood>67</likelihood><confidence>35</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;b;ppp;gpt-5;0.0
165;<response><likelihood>100</likelihood><confidence>95</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;c;ppp;gpt-5;0.0
166;<response><likelihood>90</likelihood><confidence>75</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;c;ppp;gpt-5;0.0
167;<response><likelihood>50</likelihood><confidence>20</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;d;ppp;gpt-5;0.0
168;<response><likelihood>50</likelihood><confidence>25</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;d;ppp;gpt-5;0.0
169;<response><likelihood>50</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;e;ppp;gpt-5;0.0
170;<response><likelihood>50</likelihood><confidence>20</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;e;ppp;gpt-5;0.0
171;<response><likelihood>15</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;f;ppp;gpt-5;0.0
172;<response><likelihood>15</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;f;ppp;gpt-5;0.0
173;<response><likelihood>5</likelihood><confidence>80</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;g;ppp;gpt-5;0.0
174;<response><likelihood>15</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;g;ppp;gpt-5;0.0
175;<response><likelihood>10</likelihood><confidence>55</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;h;ppp;gpt-5;0.0
176;<response><likelihood>10</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;h;ppp;gpt-5;0.0
177;<response><likelihood>25</likelihood><confidence>35</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;i;ppp;gpt-5;0.0
178;<response><likelihood>80</likelihood><confidence>65</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;j;ppp;gpt-5;0.0
179;<response><likelihood>80</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;j;ppp;gpt-5;0.0
180;<response><likelihood>95</likelihood><confidence>85</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;k;ppp;gpt-5;0.0
221;<response><likelihood>35</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;a;pmm;gpt-5;0.0
222;<response><likelihood>30</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;a;pmm;gpt-5;0.0
223;<response><likelihood>67</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;b;pmm;gpt-5;0.0
224;<response><likelihood>50</likelihood><confidence>25</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;b;pmm;gpt-5;0.0
225;<response><likelihood>80</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;c;pmm;gpt-5;0.0
226;<response><likelihood>70</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;c;pmm;gpt-5;0.0
227;<response><likelihood>50</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;d;pmm;gpt-5;0.0
228;<response><likelihood>45</likelihood><confidence>35</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;d;pmm;gpt-5;0.0
229;<response><likelihood>50</likelihood><confidence>25</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;e;pmm;gpt-5;0.0
230;<response><likelihood>50</likelihood><confidence>20</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;e;pmm;gpt-5;0.0
231;<response><likelihood>20</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;f;pmm;gpt-5;0.0
232;<response><likelihood>20</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;f;pmm;gpt-5;0.0
233;<response><likelihood>5</likelihood><confidence>75</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;g;pmm;gpt-5;0.0
234;<response><likelihood>10</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;g;pmm;gpt-5;0.0
235;<response><likelihood>20</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;h;pmm;gpt-5;0.0
236;<response><likelihood>5</likelihood><confidence>85</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;h;pmm;gpt-5;0.0
237;<response><likelihood>20</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;i;pmm;gpt-5;0.0
238;<response><likelihood>70</likelihood><confidence>65</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;j;pmm;gpt-5;0.0
239;<response><likelihood>70</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;j;pmm;gpt-5;0.0
240;<response><likelihood>95</likelihood><confidence>85</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;k;pmm;gpt-5;0.0
261;<response><likelihood>30</likelihood><confidence>35</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;a;mpm;gpt-5;0.0
262;<response><likelihood>35</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;a;mpm;gpt-5;0.0
263;<response><likelihood>50</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;b;mpm;gpt-5;0.0
264;<response><likelihood>50</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;b;mpm;gpt-5;0.0
265;<response><likelihood>85</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;c;mpm;gpt-5;0.0
266;<response><likelihood>70</likelihood><confidence>45</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;c;mpm;gpt-5;0.0
267;<response><likelihood>50</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;d;mpm;gpt-5;0.0
268;<response><likelihood>50</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;d;mpm;gpt-5;0.0
269;<response><likelihood>50</likelihood><confidence>25</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;e;mpm;gpt-5;0.0
270;<response><likelihood>50</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;e;mpm;gpt-5;0.0
271;<response><likelihood>10</likelihood><confidence>50</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;f;mpm;gpt-5;0.0
272;<response><likelihood>20</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;f;mpm;gpt-5;0.0
273;<response><likelihood>0</likelihood><confidence>90</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;g;mpm;gpt-5;0.0
274;<response><likelihood>5</likelihood><confidence>90</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;g;mpm;gpt-5;0.0
275;<response><likelihood>0</likelihood><confidence>95</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;h;mpm;gpt-5;0.0
276;<response><likelihood>15</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;h;mpm;gpt-5;0.0
277;<response><likelihood>15</likelihood><confidence>70</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;i;mpm;gpt-5;0.0
278;<response><likelihood>70</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;j;mpm;gpt-5;0.0
279;<response><likelihood>80</likelihood><confidence>65</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;j;mpm;gpt-5;0.0
280;<response><likelihood>90</likelihood><confidence>75</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;k;mpm;gpt-5;0.0
281;<response><likelihood>35</likelihood><confidence>45</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;a;mmp;gpt-5;0.0
282;<response><likelihood>40</likelihood><confidence>40</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;a;mmp;gpt-5;0.0
283;<response><likelihood>67</likelihood><confidence>45</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;b;mmp;gpt-5;0.0
284;<response><likelihood>50</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;b;mmp;gpt-5;0.0
285;<response><likelihood>75</likelihood><confidence>60</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;c;mmp;gpt-5;0.0
286;<response><likelihood>90</likelihood><confidence>75</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;c;mmp;gpt-5;0.0
287;<response><likelihood>50</likelihood><confidence>25</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;d;mmp;gpt-5;0.0
288;<response><likelihood>50</likelihood><confidence>25</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;d;mmp;gpt-5;0.0
289;<response><likelihood>50</likelihood><confidence>25</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;e;mmp;gpt-5;0.0
290;<response><likelihood>50</likelihood><confidence>20</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;e;mmp;gpt-5;0.0
291;<response><likelihood>15</likelihood><confidence>30</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;f;mmp;gpt-5;0.0
292;<response><likelihood>20</likelihood><confidence>35</confidence></response>;low;low;numeric-conf;overloaded;collider;soc_ovl_de=econ;f;mmp;gpt-5;0.0
