id;response;reasoning_effort;verbosity;prompt_category;content_category;graph;domain;task;cntbl_cond;subject;temperature
1;Message(id='msg_01WC8x2vbXs1qMuksiy2TttW', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=989, output_tokens=6, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;a;ppp;claude-opus-4-20250514;0.0
2;Message(id='msg_012Le6hSGhddq5CTbwkzHMto', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=989, output_tokens=6, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;a;ppp;claude-opus-4-20250514;0.0
3;Message(id='msg_01SE9juvWQLYK5NRx4un69Kk', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=979, output_tokens=6, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;b;ppp;claude-opus-4-20250514;0.0
4;Message(id='msg_01Sf9LPJw9Pwagbqm3aywv9D', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=977, output_tokens=6, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;b;ppp;claude-opus-4-20250514;0.0
5;<response><likelihood>75</likelihood><confidence>80</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;c;ppp;claude-opus-4-20250514;0.0
6;Message(id='msg_011gRZGo964CwFozp2zh2oGM', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=989, output_tokens=6, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;c;ppp;claude-opus-4-20250514;0.0
7;<response><likelihood>50;N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;d;ppp;claude-opus-4-20250514;0.0
8;Message(id='msg_01DCueVjHzANctLRqDiW269k', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=978, output_tokens=6, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;d;ppp;claude-opus-4-20250514;0.0
9;Message(id='msg_017qtiQMkqFfoe52Lbcc4xoX', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=978, output_tokens=6, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;e;ppp;claude-opus-4-20250514;0.0
10;Message(id='msg_01S9RGY1g12x2mUchuo4kfqh', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=978, output_tokens=6, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;e;ppp;claude-opus-4-20250514;0.0
11;Message(id='msg_01Tj4rH3Xq4JCwFqbKp5kaKF', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=989, output_tokens=6, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;f;ppp;claude-opus-4-20250514;0.0
12;Message(id='msg_019NbUNzB8W6idApK18k1MHe', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=989, output_tokens=6, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;f;ppp;claude-opus-4-20250514;0.0
13;<response><likelihood>25</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;g;ppp;claude-opus-4-20250514;0.0
14;Message(id='msg_01WyiwEUv7SyRCkZCpK3p2qq', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=977, output_tokens=8, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;g;ppp;claude-opus-4-20250514;0.0
15;Message(id='msg_01KF8tSjB7iwv5iTSuuqcB3V', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=989, output_tokens=6, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;h;ppp;claude-opus-4-20250514;0.0
16;Message(id='msg_013zCQF1FdH3YoYmCWp9LAVC', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=989, output_tokens=6, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;h;ppp;claude-opus-4-20250514;0.0
17;Message(id='msg_01NpdKBzx469Kj38p9fdjn4x', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=989, output_tokens=6, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;i;ppp;claude-opus-4-20250514;0.0
18;Message(id='msg_01AuKJKqZQ23CmAHtK3niNQ6', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=989, output_tokens=6, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;j;ppp;claude-opus-4-20250514;0.0
19;Message(id='msg_011QU3WsasjDSV83jQpfAQzv', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=989, output_tokens=6, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;j;ppp;claude-opus-4-20250514;0.0
20;Message(id='msg_01Fb6EpHECx8sgDhKgg22AMx', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=989, output_tokens=6, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;k;ppp;claude-opus-4-20250514;0.0
61;<response><likelihood>50;N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;a;pmm;claude-opus-4-20250514;0.0
62;<response><likelihood>50;N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;a;pmm;claude-opus-4-20250514;0.0
63;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;b;pmm;claude-opus-4-20250514;0.0
64;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;b;pmm;claude-opus-4-20250514;0.0
65;<response><likelihood>50;N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;c;pmm;claude-opus-4-20250514;0.0
66;Message(id='msg_01QtYbFEKG1uQoRu1z3kXN6A', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=990, output_tokens=6, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;c;pmm;claude-opus-4-20250514;0.0
67;<response><likelihood>50</likelihood><confidence>75</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;d;pmm;claude-opus-4-20250514;0.0
68;<response><likelihood>50;N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;d;pmm;claude-opus-4-20250514;0.0
69;<response><likelihood>50</likelihood><confidence>85</confidence></response>;N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;e;pmm;claude-opus-4-20250514;0.0
70;Message(id='msg_01YPk4B2xRtTqBrB7Hw7qq6K', content=[], model='claude-opus-4-20250514', role='assistant', stop_reason='refusal', stop_sequence=None, type='message', usage=Usage(cache_creation_input_tokens=0, cache_read_input_tokens=0, input_tokens=979, output_tokens=6, server_tool_use=None, service_tier='standard', cache_creation={'ephemeral_5m_input_tokens': 0, 'ephemeral_1h_input_tokens': 0}));N/A;N/A;numeric-conf;unspecified;collider;abs_all_10_overloaded_de;e;pmm;claude-opus-4-20250514;0.0
